;index;EngNames;Language;Group;Family;glottocode;dialect;classes;source;source_bibtex;Lat;Lon
0;255;Khaput;Kryz;Lezgic;Nakh-Daghestanian;xapu1238;;4;[Hewitt and Harris 1994: 409];saadiev1994;41.142778;48.194444
1;15;Alyk;Kryz;Lezgic;Nakh-Daghestanian;alyk1236;аликский;4;[Ihilov 1967: 9-15];ihilov1967;41.1775;48.23694
2;303;Khynalyg;Khinalugh;Khinalugh;Nakh-Daghestanian;khin1240;;4;[Kibrik 1972: 5];kibrik1972;41.17778;48.12694000000001
3;60;Budug;Budukh;Lezgic;Nakh-Daghestanian;budu1249;будухский;4;[Ihilov 1967: 9-15];ihilov1967;41.18611;48.36861
4;116;Dzhek;Kryz;Lezgic;Nakh-Daghestanian;dzhe1238;джекский;4;[Ihilov 1967: 9-15];ihilov1967;41.19694000000001;48.24167
5;317;Kryz;Kryz;Lezgic;Nakh-Daghestanian;kryt1240;;4;[Ihilov 1967: 9-15];ihilov1967;41.21556;48.24667
6;133;Fiy;Lezgian;Lezgic;Nakh-Daghestanian;akht1238;ахтынский;0;[Ihilov 1967: 9-15];ihilov1967;41.289126;47.564416
7;510;Tekipirkent;Lezgian;Lezgic;Nakh-Daghestanian;lezg1248;кюринский;0;[Ihilov 1967: 9-15];ihilov1967;41.34201;47.88615
8;220;Kaladzhukh;Lezgian;Lezgic;Nakh-Daghestanian;akht1238;ахтынский;0;[Ihilov 1967: 9-15];ihilov1967;41.366176;47.908075
9;382;Mikrakh;Lezgian;Lezgic;Nakh-Daghestanian;akht1238;ахтынский;0;[Ihilov 1967: 9-15];ihilov1967;41.37481;47.882489
10;271;Khnov;Rutul;Lezgic;Nakh-Daghestanian;rutu1240;рутульский;4;[Ihilov 1967: 9-15];ihilov1967;41.378607;47.443605
11;228;Karakyure;Lezgian;Lezgic;Nakh-Daghestanian;akht1238;ахтынский;0;[Ihilov 1967: 9-15];ihilov1967;41.417413;47.962618
12;113;Dzhaba;Lezgian;Lezgic;Nakh-Daghestanian;akht1238;ахтынский;0;[Ihilov 1967: 9-15];ihilov1967;41.424175;47.775397
13;581;Usukhchay;Lezgian;Lezgic;Nakh-Daghestanian;akht1238;ахтынский;0;[Ihilov 1967: 9-15];ihilov1967;41.424736;47.922987
14;7;Akhty;Lezgian;Lezgic;Nakh-Daghestanian;akht1238;ахтынский;0;[Ihilov 1967: 9-15];ihilov1967;41.45904;47.746695
15;270;Khkem;Lezgian;Lezgic;Nakh-Daghestanian;akht1238;ахтынский;0;[Ihilov 1967: 9-15];ihilov1967;41.4723;47.76363
16;215;Kaka;Lezgian;Lezgic;Nakh-Daghestanian;akht1238;ахтынский;0;[Ihilov 1967: 9-15];ihilov1967;41.478513;47.636857
17;359;Lutkun;Lezgian;Lezgic;Nakh-Daghestanian;akht1238;ахтынский;0;[Ihilov 1967: 9-15];ihilov1967;41.4844;47.6861
18;284;Khryug;Lezgian;Lezgic;Nakh-Daghestanian;akht1238;ахтынский;0;[Ihilov 1967: 9-15];ihilov1967;41.4892;47.6044
19;616;Zrykh;Lezgian;Lezgic;Nakh-Daghestanian;akht1238;ахтынский;0;[Ihilov 1967: 9-15];ihilov1967;41.49105;47.564736
