EngNames	Lat	Lon	Language	Group	Family	color	glottocode	dialect	source
Kvardal	41.6803	47.56277	Aghul	Lezgic	Nakh-Daghestanian	green	agul1244	агульский	[Magometov 1970]
Ukuz	41.696017	47.591355	Lezgian	Lezgic	Nakh-Daghestanian	#74C476	agul1244		[Magometov 1970]
Khveredzh	41.70206	47.57218	Aghul	Lezgic	Nakh-Daghestanian	green	agul1244	агульский	[Magometov 1970]
Bedyuk	41.716044	47.525715	Aghul	Lezgic	Nakh-Daghestanian	green	agul1244	агульский	[Magometov 1970]
Goa	41.753585	47.703213	Aghul	Lezgic	Nakh-Daghestanian	green	agul1244	агульский	[Shaumian 1941]
Duldug	41.76833	47.67438	Aghul	Lezgic	Nakh-Daghestanian	green	agul1244	агульский	[Shaumian 1941]
Tpig	41.780423	47.589523	Aghul	Lezgic	Nakh-Daghestanian	green	agul1244	агульский	[Ihilov 1967]
Khutkhul	41.78517	47.61451	Aghul	Lezgic	Nakh-Daghestanian	green	agul1244	агульский	[Shaumian 1941]
Yarkug	41.79814	47.68435	Aghul	Lezgic	Nakh-Daghestanian	green	agul1244	агульский	[Shaumian 1941]
Burkikhan	41.806356	47.538467	Aghul	Lezgic	Nakh-Daghestanian	green	agul1244	агульский	[Ihilov 1967]
Misi	41.80991	47.60329	Aghul	Lezgic	Nakh-Daghestanian	green	agul1244	агульский	[Shaumian 1941]
Kurag	41.836764	47.661351	Aghul	Lezgic	Nakh-Daghestanian	green	agul1244	агульский	[Shaumian 1941]
Alyk	41.1775	48.23694	Kryz	Lezgic	Nakh-Daghestanian	lightgreen	alyk1236	аликский	[Ihilov 1967]
Shangoda	42.246859	47.000153	Avar	Avar	Nakh-Daghestanian	yellow	anda1281	андальский, бухтинский	[Saidova, Magomedov 2008]
Shangoda	42.246859	47.000153	Avar	Avar	Nakh-Daghestanian	yellow	anda1281	андальский, бухтинский	[Saidova, Magomedov 2008]
Gamsutl'	42.301972	46.996315	Avar	Avar	Nakh-Daghestanian	yellow	anda1281	андальский, гамсутлинский	[Saidova, Magomedov 2008]
Gamsutl'	42.301972	46.996315	Avar	Avar	Nakh-Daghestanian	yellow	anda1281	андальский, гамсутлинский	[Saidova, Magomedov 2008]
Keger	42.3767	47.0275	Avar	Avar	Nakh-Daghestanian	yellow	anda1281	андальский, кегерский	[Saidova, Magomedov 2008]
Keger	42.3767	47.0275	Avar	Avar	Nakh-Daghestanian	yellow	anda1281	андальский, кегерский	[Saidova, Magomedov 2008]
Agada	42.412001	46.841895	Avar	Avar	Nakh-Daghestanian	yellow	anda1281	андальский, куядинский	[Alekseev, Ataev 1997]
Agada	42.412001	46.841895	Avar	Avar	Nakh-Daghestanian	yellow	anda1281	андальский, куядинский	[Alekseev, Ataev 1997]
Sekh	42.416094	46.826447	Avar	Avar	Nakh-Daghestanian	yellow	anda1281	андальский, куядинский	[Saidova, Magomedov 2008]
Sekh	42.416094	46.826447	Avar	Avar	Nakh-Daghestanian	yellow	anda1281	андальский, куядинский	[Saidova, Magomedov 2008]
Tlogob	42.4189	46.8153	Avar	Avar	Nakh-Daghestanian	yellow	anda1281	андальский, куядинский	[Saidova, Magomedov 2008]
Tlogob	42.4189	46.8153	Avar	Avar	Nakh-Daghestanian	yellow	anda1281	андальский, куядинский	[Saidova, Magomedov 2008]
Balanub	42.4284	46.8251	Avar	Avar	Nakh-Daghestanian	yellow	anda1281	андальский, куядинский	[Saidova, Magomedov 2008]
Balanub	42.4284	46.8251	Avar	Avar	Nakh-Daghestanian	yellow	anda1281	андальский, куядинский	[Saidova, Magomedov 2008]
Murada	42.445422	46.954469	Avar	Avar	Nakh-Daghestanian	yellow	anda1281	андальский, куядинский	[Saidova, Magomedov 2008]
Murada	42.445422	46.954469	Avar	Avar	Nakh-Daghestanian	yellow	anda1281	андальский, куядинский	[Saidova, Magomedov 2008]
Obokh	42.28362	47.03734	Avar	Avar	Nakh-Daghestanian	yellow	anda1281	андальский, обохский	[Saidova, Magomedov 2008]
Obokh	42.28362	47.03734	Avar	Avar	Nakh-Daghestanian	yellow	anda1281	андальский, обохский	[Saidova, Magomedov 2008]
Unkida	42.328698	46.885731	Avar	Avar	Nakh-Daghestanian	yellow	anda1281	андальский, ругуджинский	[Saidova, Magomedov 2008]
Unkida	42.328698	46.885731	Avar	Avar	Nakh-Daghestanian	yellow	anda1281	андальский, ругуджинский	[Saidova, Magomedov 2008]
Khopor	42.352716	46.937396	Avar	Avar	Nakh-Daghestanian	yellow	anda1281	андальский, ругуджинский	[Saidova, Magomedov 2008]
Khopor	42.352716	46.937396	Avar	Avar	Nakh-Daghestanian	yellow	anda1281	андальский, ругуджинский	[Saidova, Magomedov 2008]
Rugudzha	42.3606	46.9139	Avar	Avar	Nakh-Daghestanian	yellow	anda1281	андальский, ругуджинский	[Saidova, Magomedov 2008]
Rugudzha	42.3606	46.9139	Avar	Avar	Nakh-Daghestanian	yellow	anda1281	андальский, ругуджинский	[Saidova, Magomedov 2008]
Kudali	42.3678	47.0789	Avar	Avar	Nakh-Daghestanian	yellow	anda1281	андальский, салтинский	[Saidova, Magomedov 2008]
Kudali	42.3678	47.0789	Avar	Avar	Nakh-Daghestanian	yellow	anda1281	андальский, салтинский	[Saidova, Magomedov 2008]
Salta	42.39589	47.07048	Avar	Avar	Nakh-Daghestanian	yellow	anda1281	андальский, салтинский	[Saidova, Magomedov 2008]
Salta	42.39589	47.07048	Avar	Avar	Nakh-Daghestanian	yellow	anda1281	андальский, салтинский	[Saidova, Magomedov 2008]
Khvartikuni	42.4569	47.0067	Avar	Avar	Nakh-Daghestanian	yellow	anda1281	андальский, салтинский	[Saidova, Magomedov 2008]
Khvartikuni	42.4569	47.0067	Avar	Avar	Nakh-Daghestanian	yellow	anda1281	андальский, салтинский	[Saidova, Magomedov 2008]
Darada	42.465606	46.936573	Avar	Avar	Nakh-Daghestanian	yellow	anda1281	андальский, салтинский	[Saidova, Magomedov 2008]
Darada	42.465606	46.936573	Avar	Avar	Nakh-Daghestanian	yellow	anda1281	андальский, салтинский	[Saidova, Magomedov 2008]
Tunzi	42.46888	46.97573	Avar	Avar	Nakh-Daghestanian	yellow	anda1281	андальский, салтинский	[Saidova, Magomedov 2008]
Tunzi	42.46888	46.97573	Avar	Avar	Nakh-Daghestanian	yellow	anda1281	андальский, салтинский	[Saidova, Magomedov 2008]
Khvarada	42.46889	46.99406	Avar	Avar	Nakh-Daghestanian	yellow	anda1281	андальский, салтинский	[Saidova, Magomedov 2008]
Khvarada	42.46889	46.99406	Avar	Avar	Nakh-Daghestanian	yellow	anda1281	андальский, салтинский	[Saidova, Magomedov 2008]
Arkas	42.65194	47.13833	Avar	Avar	Nakh-Daghestanian	yellow	anda1281	андальский, салтинский	[Alekseev, Ataev 1997]
Arkas	42.65194	47.13833	Avar	Avar	Nakh-Daghestanian	yellow	anda1281	андальский, салтинский	[Alekseev, Ataev 1997]
Manasaul	42.7575	47.0397	Avar	Avar	Nakh-Daghestanian	yellow	anda1281	андальский, салтинский	[Saidova, Magomedov 2008]
Manasaul	42.7575	47.0397	Avar	Avar	Nakh-Daghestanian	yellow	anda1281	андальский, салтинский	[Saidova, Magomedov 2008]
